LOAN_ID|ORIG_CHN|Seller.Name|ORIG_RT|ORIG_AMT|ORIG_TRM|ORIG_DTE|FRST_DTE|OLTV|OCLTV|NUM_BO|DTI|CSCORE_B|FTHB_FLG|PURPOSE|PROP_TYP|NUM_UNIT|OCC_STAT|STATE|ZIP_3|MI_PCT|Product.Type|CSCORE_C|MI_TYPE|RELOCATION_FLG
564215607947|C|GE MORTGAGE SERVICES, LLC|7.875|98000|180|11/1999|01/2000|75.0||2.0||710.0|N|C|SF|2|P|CA|917||FRM|||N
180499354600|R|SUNTRUST MORTGAGE INC.|7.875|83000|360|08/1999|10/1999|48.0||2.0|34.0|766.0|Y|P|SF|1|P|TN|373||FRM|||N
761595879498|C|SUNTRUST MORTGAGE INC.|8.5|50000|360|02/2000|04/2000|80.0||1.0|35.0|762.0|N|P|SF|1|S|FL|346||FRM|||N
623681569241|R|OTHER|7.875|201000|360|01/2000|03/2000|95.0||2.0|27.0|693.0|N|P|SF|1|P|CA|922|30.0|FRM||1.0|N
308906249654|B|FIRST TENNESSEE BANK NATIONAL ASSOCIATION|7.5|240000|360|12/1999|02/2000|77.0||2.0|22.0|742.0|N|P|SF|1|P|VA|201||FRM|771.0||N
319272716241|R|CITIMORTGAGE, INC.|8.5|50000|360|02/2000|04/2000|33.0||2.0|26.0|759.0|N|R|SF|1|P|CA|958||FRM|765.0||N
993509853818|B|BANK OF AMERICA, N.A.|9.25|104000|360|12/1999|02/2000|95.0||1.0||665.0|N|P|SF|1|P|FL|333|30.0|FRM||2.0|N
176765411596|C|CITIMORTGAGE, INC.|7.5|172000|180|12/1999|02/2000|61.0||2.0|33.0|607.0|N|R|CO|1|P|CA|926||FRM|648.0||N
705422879191|B|FIRST TENNESSEE BANK NATIONAL ASSOCIATION|8.25|85000|360|01/2000|03/2000|55.0||2.0|26.0||N|C|SF|1|P|MO|657||FRM|730.0||N
552827687168|C|SUNTRUST MORTGAGE INC.|8.0|81000|360|01/2000|03/2000|95.0||1.0|20.0|775.0|N|P|SF|1|P|TX|775|30.0|FRM||1.0|N
921045251931|R|OTHER|7.25|148000|180|11/1999|01/2000|95.0||2.0|42.0|764.0|N|P|SF|1|P|WA|986|30.0|FRM|785.0|1.0|N
854101183645|R|FIRST TENNESSEE BANK NATIONAL ASSOCIATION|7.75|165000|360|10/1999|12/1999|80.0||1.0|35.0|653.0|N|R|SF|1|P|VA|220||FRM|||N
677197229207|C|FLAGSTAR BANK, FSB|8.375|140000|360|11/1999|01/2000|80.0||2.0|18.0|744.0|N|P|SF|1|I|IL|606||FRM|710.0||N
